segment_id,start_time,end_time,duration,normalized_text,alignment_confidence,audio_path,agreement_score,split
segment_0038,304.38,310.17,5.7900000000000205,nəticəsində çəkdikləri mənəvi iztiraba görə mənəvi təzminat tələb eləsinlər,-0.2208611434201543,data/segments/audio/segment_0038.wav,0.4444444444444444,train
segment_0007,62.0,70.45,8.450000000000003,hər zaman işçilər öz iradələri altında bu ərizəni yazmırlar işəgötürənlər tərəfindən müxtəlif təzyiq,-0.1920681874859246,data/segments/audio/segment_0007.wav,0.7857142857142857,train
segment_0018,139.56,148.63,9.069999999999993,işçi əgər bundan imtina eləyirsə həmin işçiyə qarşı təzyiqlər başlayır ona iş yerində,-0.23363898738732886,data/segments/audio/segment_0018.wav,0.5,train
segment_0025,197.43,205.71,8.280000000000001,davranışından əmək müfəttişliyinə şikayət etmiş işçinin ondan başqa deyək ki axşam saat 8 ə 9 a qədər,-0.3759450628577026,data/segments/audio/segment_0025.wav,0.5,train
segment_0037,294.68,304.15,9.46999999999997,və məcburi buraxdıqları iş günlərinə görə əmək haqlarını tələb eləsinlər hətta onlara edilən psixoloji təzyiqlər,-0.24143550929478733,data/segments/audio/segment_0037.wav,0.3846153846153846,train
segment_0019,150.02,159.76999999999998,9.749999999999972,müxtəlif aktlar tərtib olunur və ya deyək ki digər işçilər həmin işçiyə qarşı doldurulur və s belə olan halda bəzi işçilər,-0.24724836855117646,data/segments/audio/segment_0019.wav,0.3125,train
segment_0030,236.78,244.73000000000002,7.950000000000017,hüquqları var birincisi odur ki işçi ərizəsini geri götürə bilər yəni işəgötürənə,-0.20869833578849914,data/segments/audio/segment_0030.wav,0.4,train
segment_0023,181.4,189.79000000000002,8.390000000000015,çıxarılmaları olur burada fərqli nümunələr də göstərmək olar tək yeni rəhbərin gəlib işçiləri çıxarması deyil,-0.2696736822982222,data/segments/audio/segment_0023.wav,0.6,train
segment_0017,133.54,139.32999999999998,5.789999999999992,çətinə salmaq istəmirik ona görə yaxşısı budur gəl ərizəni yaz çıx və,-0.34414590691010255,data/segments/audio/segment_0017.wav,0.4,train
segment_0022,174.86,181.03,6.1699999999999875,axırı yenə işəgötürənin dediyi kimi 70 ci maddənin ç bəndi ilə,-0.38238753349254995,data/segments/audio/segment_0022.wav,0.41666666666666663,train
segment_0029,229.86,236.19,6.329999999999984,ərizəsini yazmağa məcbur edilmiş işçilərin hansı hüquqi yollara baş vurmaq,-0.19584703543699628,data/segments/audio/segment_0029.wav,0.4444444444444444,train
segment_0032,254.24,262.47,8.230000000000018,bu hər zaman mümkün olmaya bilir bildiyimiz kimi xəbərdarlıq müddəti var bir aylıq xəbərdarlıq müddəti yəni işçi bir ay sonraya,-0.27923493545434175,data/segments/audio/segment_0032.wav,0.23076923076923073,train
segment_0013,107.5,114.93,7.430000000000007,və yaxınlaşırlar o qurbana və deyirlər ki bəs biz sizin işinizdən razı deyilik,-0.28825815957708323,data/segments/audio/segment_0013.wav,0.5833333333333333,train
segment_0040,321.74,330.67,8.930000000000007,işçiyə zor tətbiq edilərək və ya hədə qorxu gələrək onu işdən çıxmaq barədə ərizə yazmağa məcbur etmək qadağandır,-0.22472095788276208,data/segments/audio/segment_0040.wav,0.631578947368421,train
segment_0034,268.75,277.89,9.139999999999986,müddət ola bilər yəni o xəbərdarlıq müddəti ərzində işəgötürən işçiyə onun yerinə yeni işçinin alınması barədə,-0.29489073209795835,data/segments/audio/segment_0034.wav,0.7222222222222222,train
segment_0008,70.76,76.87,6.109999999999999,vasitələri olur və yəqin ki hər birimizin ətrafında elə insanlar var ki onlar,-0.3090762238924365,data/segments/audio/segment_0008.wav,0.3076923076923077,train
segment_0036,284.66,294.37,9.70999999999998,işçinin artıq ərizəni geri götürməsi mümkün olmur bundan başqa işçilərin hüquqları var ki məhkəməyə müraciət edib işə bərpa olunmalarını tələb eləsinlər,-0.27909552931291975,data/segments/audio/segment_0036.wav,0.7619047619047619,train
segment_0000,4.38,13.370000000000001,8.990000000000002,yəqin ki hər birimizin ətrafında elə insanlar var ki onlar karyeralarında heç olmasa bir dəfə də olsun,-0.2668795711975296,data/segments/audio/segment_0000.wav,0.5555555555555556,train
segment_0042,339.48,346.27,6.789999999999964,əmrinin etibarsız hesab edilməsi üçün məhkəməyə müraciət edə bilərlər bunun üçün,-0.2339896976212329,data/segments/audio/segment_0042.wav,0.4444444444444444,train
segment_0020,160.38,166.79000000000002,6.410000000000025,bu təzyiqlərə davam gətirməyib ərizə yazıb çıxmağa məcbur olurlar,-0.18569464808018576,data/segments/audio/segment_0020.wav,0.5555555555555556,train
segment_0027,212.72,221.97000000000003,9.250000000000028,önəmli bir məsələyə çevrilir və belə olan hallarda işəgötürənlər bu üsula əl atırlar ərizəni yaz çıx deyirlər və,-0.29427922340557455,data/segments/audio/segment_0027.wav,0.46153846153846156,train
segment_0004,37.36,42.43,5.07,işçilər tərəfindən ərizə yazılaraq əmək müqaviləsinə xitam verilməsi,-0.39311245084877594,data/segments/audio/segment_0004.wav,0.375,train
